,rating,date,restaurantName
0,5,"Dined on October 20, 2024",Calle Cantina
1,4,"Dined on October 18, 2024",Calle Cantina
2,5,"Dined on September 15, 2024",Calle Cantina
3,1,"Dined on September 1, 2024",Calle Cantina
4,5,"Dined on August 23, 2024",Calle Cantina
5,4,"Dined on August 18, 2024",Calle Cantina
6,5,"Dined on August 4, 2024",Calle Cantina
7,5,"Dined on June 24, 2024",Calle Cantina
8,5,"Dined on June 24, 2024",Calle Cantina
9,2,"Dined on June 23, 2024",Calle Cantina
10,5,"Dined on June 15, 2024",Calle Cantina
11,4,"Dined on April 14, 2024",Calle Cantina
12,5,"Dined on March 24, 2024",Calle Cantina
13,3,"Dined on March 15, 2024",Calle Cantina
14,5,"Dined on March 10, 2024",Calle Cantina
15,5,"Dined on March 9, 2024",Calle Cantina
16,5,"Dined on March 3, 2024",Calle Cantina
17,4,"Dined on February 25, 2024",Calle Cantina
18,5,"Dined on February 25, 2024",Calle Cantina
19,1,"Dined on February 19, 2024",Calle Cantina
20,3,"Dined on February 18, 2024",Calle Cantina
21,2,"Dined on February 14, 2024",Calle Cantina
22,5,"Dined on February 11, 2024",Calle Cantina
23,5,"Dined on February 11, 2024",Calle Cantina
24,5,"Dined on January 28, 2024",Calle Cantina
25,2,"Dined on January 28, 2024",Calle Cantina
26,5,"Dined on January 27, 2024",Calle Cantina
27,5,"Dined on January 26, 2024",Calle Cantina
28,5,"Dined on January 25, 2024",Calle Cantina
29,4,"Dined on January 25, 2024",Calle Cantina
30,3,"Dined on January 21, 2024",Calle Cantina
31,5,"Dined on January 21, 2024",Calle Cantina
32,5,"Dined on January 20, 2024",Calle Cantina
33,2,"Dined on January 20, 2024",Calle Cantina
34,3,"Dined on January 20, 2024",Calle Cantina
35,5,"Dined on January 20, 2024",Calle Cantina
36,4,"Dined on January 14, 2024",Calle Cantina
37,5,"Dined on January 12, 2024",Calle Cantina
38,5,"Dined on January 4, 2024",Calle Cantina
39,4,"Dined on January 1, 2024",Calle Cantina
40,5,"Dined on January 1, 2024",Calle Cantina
41,5,"Dined on December 31, 2023",Calle Cantina
42,5,"Dined on December 30, 2023",Calle Cantina
43,5,"Dined on December 25, 2023",Calle Cantina
44,4,"Dined on December 24, 2023",Calle Cantina
45,5,"Dined on December 24, 2023",Calle Cantina
46,5,"Dined on December 24, 2023",Calle Cantina
47,5,"Dined on December 21, 2023",Calle Cantina
48,5,"Dined on December 19, 2023",Calle Cantina
49,3,"Dined on December 17, 2023",Calle Cantina
50,5,"Dined on December 16, 2023",Calle Cantina
51,5,"Dined on December 10, 2023",Calle Cantina
52,5,"Dined on December 9, 2023",Calle Cantina
53,4,"Dined on December 9, 2023",Calle Cantina
54,5,"Dined on December 9, 2023",Calle Cantina
55,2,"Dined on December 5, 2023",Calle Cantina
56,5,"Dined on December 5, 2023",Calle Cantina
57,2,"Dined on December 3, 2023",Calle Cantina
58,5,"Dined on December 3, 2023",Calle Cantina
59,5,"Dined on December 2, 2023",Calle Cantina
60,2,"Dined on December 2, 2023",Calle Cantina
61,5,"Dined on November 25, 2023",Calle Cantina
62,5,"Dined on November 25, 2023",Calle Cantina
63,5,"Dined on November 19, 2023",Calle Cantina
64,5,"Dined on November 19, 2023",Calle Cantina
65,5,"Dined on November 18, 2023",Calle Cantina
66,5,"Dined on November 17, 2023",Calle Cantina
67,5,"Dined on November 16, 2023",Calle Cantina
68,5,"Dined on November 12, 2023",Calle Cantina
69,3,"Dined on November 9, 2023",Calle Cantina
